0.0.0.0,0.255.255.255,ZZ,ZZ,,,,,0,0,0,,,,"Current network",,,"RFC 6890"
1.0.113.0,1.0.113.255,AS,JP,Tottori,"Yonago Shi",Yonago,,35.4333,133.333,1848277,9,Asia/Tokyo,JAXX0115,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.114.0,1.0.114.255,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.115.0,1.0.115.255,AS,JP,Shimane,"Izumo Shi",Izumo,,35.3667,132.767,1861084,9,Asia/Tokyo,JAXX0201,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.116.0,1.0.116.127,AS,JP,Shimane,"Matsue Shi",Matsue,,35.4833,133.05,1857550,9,Asia/Tokyo,JAXX0272,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.116.128,1.0.117.255,AS,JP,Shimane,"Izumo Shi",Izumo,,35.3667,132.767,1861084,9,Asia/Tokyo,JAXX0201,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.118.0,1.0.118.255,AS,JP,Tottori,Tottori-shi,Tottori-shi,,35.5,134.233,1849892,9,Asia/Tokyo,JAXX0122,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.119.0,1.0.120.255,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.121.0,1.0.121.255,AS,JP,Shimane,"Yasugi Shi",Yasugichō,,35.4215,133.242,1848482,9,Asia/Tokyo,JAXX6671,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.122.0,1.0.122.255,AS,JP,Shimane,"Yasugi Shi",Yasugi,,35.3361,133.184,11612572,9,Asia/Tokyo,JAXX1791,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.123.0,1.0.123.255,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.124.0,1.0.124.127,AS,JP,Shimane,"Matsue Shi",Matsue,,35.4833,133.05,1857550,9,Asia/Tokyo,JAXX0272,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.124.128,1.0.124.255,AS,JP,Shimane,"Izumo Shi",Izumo,,35.3667,132.767,1861084,9,Asia/Tokyo,JAXX0201,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.125.0,1.0.125.255,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.126.0,1.0.127.255,AS,JP,Shimane,"Izumo Shi",Izumo,,35.3667,132.767,1861084,9,Asia/Tokyo,JAXX0201,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.128.0,1.0.128.31,AS,TH,"Chiang Rai",,"Pa Daet",,19.5049,99.9924,1608068,7,Asia/Bangkok,THXX9537,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.128.32,1.0.128.127,AS,TH,Bangkok,"Lak Si","Khwaeng Thung Song Hong",,13.8941,100.584,1613187,7,Asia/Bangkok,THXX0487,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.128.128,1.0.128.159,AS,TH,"Chiang Mai",,Saraphi,,18.7142,99.0353,1150700,7,Asia/Bangkok,THXX0023,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.128.160,1.0.128.191,AS,TH,"Chiang Mai",,"Chiang Mai",,18.7904,98.9847,1153671,7,Asia/Bangkok,THXX0003,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.128.192,1.0.128.255,AS,TH,Bangkok,"Lak Si","Khwaeng Thung Song Hong",,13.8941,100.584,1613187,7,Asia/Bangkok,THXX0487,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.129.0,1.0.129.255,AS,TH,Bangkok,,Bangkok,10700,13.7563,100.502,1609350,7,Asia/Bangkok,THXX0581,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.130.0,1.0.130.255,AS,TH,"Nakhon Pathom",,"Nakhon Pathom",,13.8196,100.044,1608534,7,Asia/Bangkok,THXX0013,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.131.0,1.0.131.255,AS,TH,Songkhla,,Songkhla,,7.19882,100.595,1606147,7,Asia/Bangkok,THXX0049,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.132.0,1.0.132.63,AS,TH,"Phra Nakhon Si Ayutthaya",,Uthai,,14.3628,100.672,1605223,7,Asia/Bangkok,THXX2369,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.132.64,1.0.132.127,AS,TH,Bangkok,"Lak Si","Khwaeng Thung Song Hong",,13.8941,100.584,1613187,7,Asia/Bangkok,THXX0487,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.132.128,1.0.132.191,AS,TH,Lopburi,,Lopburi,,14.7981,100.654,1609032,7,Asia/Bangkok,THXX0053,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.132.192,1.0.132.255,AS,TH,"Phra Nakhon Si Ayutthaya",,Uthai,,14.3628,100.672,1605223,7,Asia/Bangkok,THXX2369,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.133.0,1.0.133.255,AS,TH,Lopburi,,Lopburi,,14.7981,100.654,1609032,7,Asia/Bangkok,THXX0053,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.134.0,1.0.134.255,AS,TH,Bangkok,"Lak Si","Khwaeng Thung Song Hong",,13.8941,100.584,1613187,7,Asia/Bangkok,THXX0487,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.135.0,1.0.135.255,AS,TH,"Sing Buri",,"Sing Buri",,14.8879,100.405,1606270,7,Asia/Bangkok,THXX1447,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.136.0,1.0.137.127,AS,TH,Bangkok,"Lak Si","Khwaeng Thung Song Hong",,13.8941,100.584,1613187,7,Asia/Bangkok,THXX0487,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.137.128,1.0.137.191,AS,TH,"Phang Nga",,"Khura Buri",,9.19397,98.4151,1152762,7,Asia/Bangkok,THXX1538,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.137.192,1.0.137.255,AS,TH,"Surat Thani",,"Surat Thani",,9.14011,99.3331,1150515,7,Asia/Bangkok,THXX0047,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.138.0,1.0.138.255,AS,TH,Phitsanulok,,"Phrom Phiram",,17.0335,100.202,1607468,7,Asia/Bangkok,THXX9679,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.139.0,1.0.139.255,AS,TH,Chanthaburi,,"Laem Sing",,12.4816,102.074,1609278,7,Asia/Bangkok,THXX0439,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.140.0,1.0.140.47,AS,TH,Bangkok,"Lak Si","Khwaeng Thung Song Hong",,13.8941,100.584,1613187,7,Asia/Bangkok,THXX0487,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.140.48,1.0.140.63,AS,TH,Bangkok,"Bang Rak",Bangrak,,13.7306,100.524,1619278,7,Asia/Bangkok,THXX0581,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.140.64,1.0.140.79,AS,TH,Bangkok,"Phasi Charoen","Phasi Charoen",,13.7147,100.437,1607782,7,Asia/Bangkok,THXX3721,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.140.80,1.0.140.95,AS,TH,Nonthaburi,,"Bang Yai",,13.8434,100.363,1619198,7,Asia/Bangkok,THXX3346,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.140.96,1.0.140.143,AS,TH,Bangkok,"Lak Si","Khwaeng Thung Song Hong",,13.8941,100.584,1613187,7,Asia/Bangkok,THXX0487,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.140.144,1.0.140.159,AS,TH,Nonthaburi,,"Bang Kruai",,13.805,100.473,1619434,7,Asia/Bangkok,THXX0581,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.140.160,1.0.140.207,AS,TH,Bangkok,"Lak Si","Khwaeng Thung Song Hong",,13.8941,100.584,1613187,7,Asia/Bangkok,THXX0487,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
1.0.140.208,1.0.140.223,AS,TH,Bangkok,"Taling Chan","Taling Chan",,13.777,100.457,1605843,7,Asia/Bangkok,THXX0581,"TOT Public Company Limited",23969,,"TOT Public Company Limited"
